,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity,,,
0,2,1,sabre,49,0.736977697,97,0.729399134,160,0.732672091,,0.510204082,1.122008786,0.257731959,1.132812652,0.15625,1.179946527,,,
1,2,1,HA,31,0.831290892,31,0.802614681,28,0.727978021,,0.806451613,0.994712512,0.806451613,1.02947602,0.892857143,1.187554932,,,
2,2,1,MCPE,25,0.799560979,25,0.800021698,25,0.825515454,,1,1.034186851,1,1.032812696,1,1.047241314,,,
3,2,1,MCPE_opt,25,0.826895451,25,0.826272567,25,0.864513889,,,,,,,,,,
4,2,2,sabre,104,0.640969619,92,0.649769512,95,0.737734322,,0.509615385,1.181764838,0.576086957,1.161747677,0.684210526,1.073118889,,,
5,2,2,HA,65,0.765689064,56,0.750432857,59,0.8488442,,0.815384615,0.989272792,0.946428571,1.005910408,1.101694915,0.932652466,,,
6,2,2,MCPE,53,0.710006996,53,0.712201634,53,0.811347999,,1,1.066856189,1,1.059908016,1.226415094,0.975754716,,,
7,2,2,MCPE_opt,53,0.757475358,53,0.754868221,65,0.791676636,,,,,,,,,,
8,2,3,sabre,153,0.3181,216,0.3374,195,0.3,,0.529411765,1.421722729,0.375,1.343360996,0.538461538,1.4,,,
9,2,3,HA,84,0.46725,84,0.4408,84,0.444,,0.964285714,0.967897271,0.964285714,1.028244102,1.25,0.945945946,,,
10,2,3,MCPE,81,0.39075,81,0.386,81,0.432,,1,1.157389635,1,1.174222798,1.296296296,0.972222222,,,
11,2,3,MCPE_opt,81,0.45225,81,0.45325,105,0.42,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.51641041,1.241832118,0.402939638,1.212640441,0.459640688,1.217688472,,0.459663579,1.224053677
,,,,,,,,,,,0.862040648,0.983960858,0.905721966,1.021210176,1.081517353,1.022051114,,0.949759989,1.00907405
,,,,,,,,,,,1,1.086144225,1,1.08898117,1.17423713,0.998406084,,1.058079043,1.057843826
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity,,,,,,,,,,,,,,,,
sabre,0.736977697,0.729399134,0.732672091,,,,,,,,,,,,,,,,
HA,0.831290892,0.802614681,0.727978021,,,,,,,,,,,,,,,,
MCPE,0.799560979,0.800021698,0.825515454,,,,,,,,,,,,,,,,
MCPE_opt,0.826895451,0.826272567,0.864513889,,,,,,,,,,,,,,,,
