,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity,,,,,
0,3,1,sabre,317,0.325007492,283,0.248742319,207,0.404673193,,0.545741325,1.295414335,0.766784452,1.341204289,0.47826087,1.237975622,,,,,
1,3,1,HA,218,0.378652876,454,0.267880732,102,0.500319073,,0.793577982,1.111887406,0.477973568,1.24538358,0.970588235,1.001312113,,,,,
2,3,1,MCPE,182,0.462004646,292,0.237948424,108,0.461445408,,0.950549451,0.911288161,0.743150685,1.402044441,0.916666667,1.085665908,,,,,
3,3,1,MCPE_opt,173,0.421019364,217,0.333614265,99,0.500975548,,,,,,,,,,,,
4,3,2,sabre,520,0.431273784,701,0.437822413,462,0.482029108,,0.671153846,1.068074859,0.619115549,0.938531945,0.435064935,1.015125296,,,,,
5,3,2,HA,376,0.462444639,668,0.423883402,246,0.452618197,,0.928191489,0.996081795,0.649700599,0.969394695,0.817073171,1.081087646,,,,,
6,3,2,MCPE,352,0.442490918,629,0.446727495,228,0.501557107,,0.991477273,1.040999187,0.689984102,0.919823216,0.881578947,0.97560165,,,,,
7,3,2,MCPE_opt,349,0.460632686,434,0.410910321,201,0.489319941,,,,,,,,,,,,
8,3,3,sabre,819,0.398615198,948,0.357061559,525,0.38543065,,0.641025641,1.01081396,0.683544304,1.08804251,0.577142857,1.257030963,,,,,
9,3,3,HA,549,0.421425614,807,0.377407748,333,0.423824633,,0.956284153,0.956101845,0.802973978,1.029385743,0.90990991,1.143157389,,,,,
10,3,3,MCPE,534,0.429648512,903,0.311695305,348,0.413898152,,0.983146067,0.937803334,0.717607973,1.246403615,0.870689655,1.170573627,,,,,
11,3,3,MCPE_opt,525,0.402925807,648,0.388498155,303,0.484498261,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.619306937,1.124767718,0.689814768,1.122592915,0.496822887,1.17004396,,0.601981531,1.139134864,,
,,,,,,,,,,,0.892684541,1.021357015,0.643549382,1.081388006,0.899190439,1.075185716,,0.811808121,1.059310246,,
,,,,,,,,,,,0.975057597,0.963363561,0.716914253,1.189423757,0.88964509,1.077280395,,0.86053898,1.076689238,,
,,,,,,,,,,,,,,,,,,,,,
,sabre,HA,MCPE,MCPE_opt,,,sabre,HA,MCPE,MCPE_opt,,,sabre,HA,MCPE,MCPE_opt,,,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
gi_c_gate_num,317,218,182,173,,gi_c_gate_num,317,218,182,173,,gi_c_fidelity,0.325007492,0.378652876,0.462004646,0.421019364,,sabre,0.325007492,0.248742319,0.404673193
gi_c_fidelity,0.325007492,0.378652876,0.462004646,0.421019364,,ro_c_gate_num,283,454,292,217,,ro_c_fidelity,0.248742319,0.267880732,0.237948424,0.333614265,,HA,0.378652876,0.267880732,0.500319073
ro_c_gate_num,283,454,292,217,,gi_opt3_c_gate_num,207,102,108,99,,gi_opt3_c_fidelity,0.404673193,0.500319073,0.461445408,0.500975548,,MCPE,0.462004646,0.237948424,0.461445408
ro_c_fidelity,0.248742319,0.267880732,0.237948424,0.333614265,,,,,,,,,,,,,,MCPE_opt,0.421019364,0.333614265,0.500975548
gi_opt3_c_gate_num,207,102,108,99,,,,,,,,,,,,,,,,,
gi_opt3_c_fidelity,0.404673193,0.500319073,0.461445408,0.500975548,,,,,,,,,,,,,,,,,
