,,p,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,1,28,28,25,0.801995012,0.812997232,0.864685146
1,2,2,65,59,62,0.708957332,0.736752631,0.770882926
2,2,3,99,90,81,0.338,0.416,0.559
3,3,1,167,238,102,0.448705263,0.278539372,0.469081531
4,3,2,406,497,216,0.42317244,0.476439933,0.506727102
5,3,3,561,747,327,0.432805887,0.3564803,0.436913323
6,4,1,456,1128,263,0.174670417,0.088975602,0.213522509
7,4,2,882,2304,508,0.214573772,0.251976797,0.234551447
8,4,3,1356,3387,750,0.186262683,0.133270785,0.205936892
9,5,1,916,5808,436,0.063331502,0.043332667,0.11038093
10,5,2,1901,11664,1016,0.123013248,0.158559228,0.124881629
11,5,3,2451,17313,1440,0.073271158,0.064768682,0.076819098
12,6,1,1421,25481,855,0.024723805,0.015711103,0.042896078
13,6,2,2983,52228,1854,0.061974452,0.100372626,0.064544008
14,6,3,3981,77205,2823,0.04275691,0.033711126,0.040593736
