,,p,gi_c_gate_num,gi_c_fidelity,gi_c_duration,ro_c_gate_num,ro_c_fidelity,ro_c_duration,gi_opt_c_gate_num,gi_opt_c_fidelity,gi_opt_c_duration
0,2,1,42,0.462890625,0.99578166,41,0.427734375,0.678049326,42,0.4140625,0.724052191
1,2,2,82,0.3671875,0.921224117,80,0.357421875,0.815058231,82,0.37109375,0.690514326
2,2,3,122,0.524414063,1.034075975,119,0.4921875,0.833527803,122,0.40625,0.77374959
3,3,1,167,0.209960938,1.145750999,147,0.165039062,0.949067593,167,0.221679687,0.886451483
4,3,2,331,0.169921875,1.274455786,291,0.202148438,2.778227568,331,0.190429688,1.03524518
5,3,3,495,0.102539063,1.448179245,435,0.092773438,1.76203227,495,0.102539063,1.258809805
6,4,1,352,0.04296875,1.827229738,397,0.032226563,2.936508656,476,0.080078125,1.584219694
7,4,2,700,0.09375,2.170309544,790,0.080078125,4.995469093,948,0.09375,1.998129845
8,4,3,1048,0.041992188,2.413120985,1183,0.022460938,7.78157115,1420,0.04296875,3.485255718
9,5,1,597,0.04296875,9.918045759,935,0.015625,13.26897359,969,0.03515625,4.140303612
10,5,2,1189,0.028320313,13.34881735,1865,0.079101563,25.06204486,1933,0.045898438,6.299277067
11,5,3,1781,0.03515625,215.4031563,2795,0.006835938,45.4978025,2897,0.017578125,13.77199459
12,6,1,902,0.025390625,432.2030387,2049,0.000976563,77.01967669,1830,0.013671875,216.6111546
13,6,2,1798,0.010742187,746.131727,4092,0.0234375,205.5472908,3654,0.016601563,644.189548
14,6,3,2694,0.020507812,1958.675222,6135,0.004882812,309.4913819,5478,0.0078125,859.7487416
15,7,1,1267,0.000976563,438.8249826,4315,0.002929688,469.8531103,3059,0.001953125,401.4693193
16,7,2,2527,0.0078125,857.3511271,8623,0.020507812,1062.504705,6111,0.022460938,911.1611414
17,7,3,3787,0.002929688,1498.348044,12931,0.001953125,1656.133312,9163,0.001953125,1621.491396
